brand_name,cuisine_tags,restaurant_rating,delivery_time,service_fee,minimum_order_amount,new_restaurant
Kulfi House,"['Healthy', 'Italian', 'Desserts']",Very good,45,5,0,False
"KPOP Chicken, Jumeirah Lakes Towers","['Asian', 'Wings', 'Fried', 'Chicken']",Very good,45,5,10,False
"Toss & Co., The Palm Jumeirah",['Healthy'],Very good,45,5,50,False
Entertainment Hub,['Electronics'],Very good,30,0,0,False
Wokyo Noodle Bar,"['Japanese', 'Asian', 'Chinese']",Very good,45,5,0,False
Donaccino,"['Specialty', 'Store', 'Bakery', 'Desserts']",Very good,42,3,10,False
"Sushi Art, Meadows","['Japanese', 'Seafood', 'Asian']",Good,41,0,10,False
Beast Burger,['Burgers'],Very good,47,3,10,False
E-shop by Baskin Robbins,"['Specialty', 'Store', 'Ice', 'Cream', 'Cakes', 'Desserts']",Amazing,38,5,10,False
All You Can Keto,"['Breakfast', 'Grills', 'Healthy']",NA,46,5,10,True
Bakery & More By 1762,"['Bakery', 'Healthy', 'Sandwiches']",NA,44,3,10,False
"Canadian Pizza,JLT","['Pizza', 'Italian']",Very good,45,3,10,False
Gourmet Burger Kitchen,"['Burgers', 'American', 'Breakfast']",Good,45,5,0,False
1762 Street Eats,"['American', 'Burgers', 'International']",NA,45,3,10,False
"Shakeism Milkshakes, Jumeirah Lakes Towers - JLT","['Desserts', 'Cafe']",Good,45,5,10,True
Mandarin Oak,"['Chinese', 'Asian', 'Soups']",Very good,51,7,10,False
Smokehouse,"['Burgers', 'Hot', 'Dogs', 'American']",Good,45,5,10,False
"The Acai Spot, Dubai Marina","['Healthy', 'Cafe']",Very good,45,7,10,False
Il Caffe Di Roma,"['Italian', 'Breakfast', 'Cafe']",Good,52,7,10,False
SushiDo,"['Asian', 'Japanese', 'Seafood']",Good,51,0,10,False
"Att Falafel, Jumeirah Beach Residence - JBR","['Lebanese', 'Arabic', 'Shawarma', 'Doner']",Very good,53,7,10,False
AlSukaria Restaurant & Cafe,"['Sandwiches', 'Egyptian', 'Arabic']",Good,50,9,0,False
Best Worscht In Town,"['Fast', 'Food', 'International', 'Snacks']",Good,43,7,10,False
Yin & Yang Restaurant,"['Chinese', 'Seafood']",Very good,48,3,10,False
ACAI XPRESS JLT,"['Breakfast', 'Healthy', 'Vegetarian']",Good,52,5,10,False
SOUPERIOR - Hearty Soups,"['Soups', 'Sandwiches']",Very good,41,0,0,False
AFFORDABOWLS,"['Healthy', 'Soups', 'Bowls']",Very good,39,0,0,False
SKINNY BOWLS,"['Bowls', 'Healthy', 'Salads']",Very good,39,0,0,False
"Mumtaz Chicken, Al Barsha 1","['Burgers', 'Fast', 'Food', 'Pizza']",Very good,40,5,50,False
"CALI-POKE, Jumeirah Lakes Towers - JLT","['Bowls', 'Healthy', 'Seafood']",Very good,40,0,50,False
Cheesecake Lab,"['Specialty', 'Store', 'Cakes', 'Desserts', 'Bakery']",Good,42,5,10,False
Little Erth By Nabz&G,"['Healthy', 'Vegetarian']",Very good,46,5,10,False
Red Burger,"['Burgers', 'American']",OK,45,5,10,False
The Last Mughal 1,"['Indian', 'Pakistani', 'Grills']",NA,45,5,10,False
Pastalito,"['Italian', 'International', 'Snacks']",Very good,47,7,10,True
"Al Bait Al Shami,Jumeirah Beach Residence - JBR",['International'],Very good,35,0,40,False
Sarap Nation,"['Asian', 'Breakfast', 'International']",Very good,50,3,10,False
MiniMe Pancakes,"['Desserts', 'American', 'Breakfast']",Very good,45,7,10,False
